pair,side,units,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl_usd,r_multiple,bars_held,partial_taken
AUD_USD,short,90909,0.75665,2021-06-28 14:00:00+00:00,0.7522885714285715,2021-06-29 10:00:00+00:00,tp,296.23,1.48,21,True
GBP_USD,short,52801,1.38052,2021-06-30 16:00:00+00:00,1.37917,2021-07-01 11:00:00+00:00,sl,138.56,0.66,20,True
EUR_USD,short,176285,1.18385,2021-07-02 07:00:00+00:00,1.183252142857143,2021-07-02 08:00:00+00:00,sl,128.12,0.81,2,True
EUR_USD,short,178614,1.18276,2021-07-02 09:00:00+00:00,1.1827,2021-07-02 10:00:00+00:00,sl,10.72,0.06,2,False
AUD_USD,short,86956,0.74713,2021-07-01 16:00:00+00:00,0.74708,2021-07-02 12:00:00+00:00,sl,4.35,0.02,21,False
EUR_USD,short,111347,1.18452,2021-07-06 09:00:00+00:00,1.18446,2021-07-06 10:00:00+00:00,sl,6.68,0.03,2,False
USD_CHF,long,122104,0.9234650000000001,2021-07-06 09:00:00+00:00,0.92349,2021-07-06 10:00:00+00:00,sl,3.31,0.02,2,False
GBP_USD,short,78404,1.3845100000000001,2021-07-06 10:00:00+00:00,1.3872842857142857,2021-07-06 12:00:00+00:00,sl,-217.52,-1.02,3,False
EUR_USD,short,96254,1.18396,2021-07-06 11:00:00+00:00,1.1839,2021-07-06 14:00:00+00:00,sl,5.78,0.03,4,False
USD_CHF,long,108583,0.922985,2021-07-06 11:00:00+00:00,0.92301,2021-07-06 14:00:00+00:00,sl,2.94,0.01,4,False
AUD_USD,short,37742,0.75011,2021-07-06 15:00:00+00:00,0.7500600000000001,2021-07-07 18:00:00+00:00,sl,1.89,0.01,28,False
GBP_USD,short,109274,1.37732,2021-07-08 07:00:00+00:00,1.37791,2021-07-08 08:00:00+00:00,sl,-64.47,-0.3,2,False
USD_JPY,short,103962,110.1615,2021-07-08 07:00:00+00:00,109.96871428571428,2021-07-08 09:00:00+00:00,sl,196.87,0.91,3,True
EUR_USD,short,110667,1.18526,2021-07-12 10:00:00+00:00,1.1852,2021-07-12 11:00:00+00:00,sl,6.64,0.03,2,False
AUD_USD,short,105134,0.74604,2021-07-12 10:00:00+00:00,0.74599,2021-07-12 12:00:00+00:00,sl,5.26,0.02,3,False
EUR_USD,short,95637,1.18376,2021-07-12 12:00:00+00:00,1.1860314285714286,2021-07-12 13:00:00+00:00,sl,-217.23,-1.02,2,False
AUD_USD,short,66504,0.74594,2021-07-13 14:00:00+00:00,0.74589,2021-07-14 02:00:00+00:00,sl,3.33,0.02,13,False
GBP_USD,long,137485,1.38468,2021-07-14 07:00:00+00:00,1.3846,2021-07-14 09:00:00+00:00,sl,-11.0,-0.05,3,False
USD_JPY,short,126097,110.17750000000001,2021-07-14 13:00:00+00:00,109.97435714285714,2021-07-15 02:00:00+00:00,sl,219.27,1.04,14,True
GBP_USD,long,47816,1.38727,2021-07-15 12:00:00+00:00,1.3827885714285715,2021-07-15 16:00:00+00:00,sl,-214.28,-1.01,5,False
EUR_USD,short,100187,1.1809399999999999,2021-07-15 12:00:00+00:00,1.18088,2021-07-15 19:00:00+00:00,sl,6.01,0.03,8,False
GBP_USD,short,128893,1.37307,2021-07-23 09:00:00+00:00,1.3736199999999998,2021-07-23 12:00:00+00:00,sl,-70.89,-0.33,4,False
USD_CHF,long,72963,0.919875,2021-07-22 16:00:00+00:00,0.9198999999999999,2021-07-23 12:00:00+00:00,sl,1.98,0.01,21,False
AUD_USD,short,107816,0.73498,2021-07-27 09:00:00+00:00,0.7369957142857142,2021-07-27 12:00:00+00:00,sl,-217.33,-1.03,4,False
GBP_USD,long,64678,1.38245,2021-07-27 13:00:00+00:00,1.388687142857143,2021-07-27 15:00:00+00:00,tp,301.58,1.48,3,True
USD_CHF,short,96468,0.914145,2021-07-27 13:00:00+00:00,0.91412,2021-07-27 18:00:00+00:00,sl,2.64,0.01,6,False
EUR_USD,long,91138,1.18136,2021-07-27 14:00:00+00:00,1.1820839285714286,2021-07-27 19:00:00+00:00,sl,135.19,0.65,6,True
GBP_USD,long,130807,1.3977,2021-07-30 09:00:00+00:00,1.3959567857142856,2021-07-30 11:00:00+00:00,sl,-228.02,-1.04,3,False
AUD_USD,long,102365,0.73748,2021-08-02 15:00:00+00:00,0.7391964285714286,2021-08-03 06:00:00+00:00,sl,189.05,0.91,16,True
USD_JPY,short,117698,109.2295,2021-08-02 16:00:00+00:00,109.22399999999999,2021-08-03 07:00:00+00:00,sl,5.93,0.03,16,False
GBP_USD,long,122724,1.39332,2021-08-03 12:00:00+00:00,1.3914664285714284,2021-08-03 12:00:00+00:00,sl,-227.48,-1.03,1,False
USD_JPY,short,116826,108.7655,2021-08-04 13:00:00+00:00,108.96214285714285,2021-08-04 14:00:00+00:00,sl,-210.83,-1.02,2,False
EUR_USD,long,168673,1.18492,2021-08-05 08:00:00+00:00,1.1840282142857141,2021-08-05 08:00:00+00:00,sl,-150.42,-1.05,1,False
USD_JPY,short,126753,109.46050000000001,2021-08-05 11:00:00+00:00,109.64114285714285,2021-08-05 13:00:00+00:00,sl,-208.84,-1.02,3,False
GBP_USD,short,96340,1.38472,2021-08-12 12:00:00+00:00,1.3806314285714285,2021-08-12 18:00:00+00:00,tp,293.97,1.47,7,True
USD_CHF,long,128329,0.923135,2021-08-12 14:00:00+00:00,0.9231349999999999,2021-08-12 21:00:00+00:00,sl,-0.0,-0.0,8,False
AUD_USD,short,114482,0.73407,2021-08-12 14:00:00+00:00,0.73402,2021-08-12 21:00:00+00:00,sl,5.72,0.03,8,False
USD_JPY,short,90883,109.78750000000001,2021-08-19 08:00:00+00:00,109.69160714285714,2021-08-19 09:00:00+00:00,sl,141.51,0.68,2,True
USD_JPY,short,84984,109.6555,2021-08-19 10:00:00+00:00,109.68549999999999,2021-08-19 13:00:00+00:00,sl,-23.24,-0.11,4,False
